"address","commune","country","latitude","longitude","name","phone","region"
"Vicuña Mackenna 802","Arica","Chile","-18.480781","-70.311448","Cuerpo de Bomberos de Arica","+56582257614","Región de Arica y Parinacota"
"Los Alamos 3007","Alto Hospicio","Chile","-20.268843","-70.104428","Cuerpo de Bomberos de Santa Rosa De Huantajaya","+56572499871","Región de Tarapacá"
"Noruega S/N","Alto Hospicio","Chile","-20.294159","-70.1043","Cuerpo de Bomberos de Alto Hospicio","+56572499390","Región de Tarapacá"
"Arturo Prat S/N","Camiña","Chile","-19.312723","-69.425425","Cuerpo de Bomberos de Camiña","+56562069541","Región de Tarapacá"
"Eleuterio Ramirez S/N","Huara","Chile","-19.996948","-69.772806","Cuerpo de Bomberos de Huara","+56572752550","Región de Tarapacá"
"Bolívar 414","Iquique","Chile","-20.21241","-70.152029","Cuerpo de Bomberos de Iquique","+56572413166","Región de Tarapacá"
"Barboza S/N","Pica","Chile","-20.490392","-69.328794","Cuerpo de Bomberos de Pica","+56572741377","Región de Tarapacá"
"Aldunate 650","Pozo Almonte","Chile","-20.257961","-69.784737","Cuerpo de Bomberos de Pozo Almonte","+56572752325","Región de Tarapacá"
"Sucre 545","Antofagasta","Chile","-23.647448","-70.396192","Cuerpo de Bomberos de Antofagasta","+56552261304","Región de Antofagasta"
"Sotomayor 1862","Calama","Chile","-22.462566","-68.923875","Cuerpo de Bomberos de Calama","+56552563602","Región de Antofagasta"
"Avenida Ohiggins  447","María Elena","Chile","-22.346113","-69.661221","Cuerpo de Bomberos de Maria Elena","055413999","Región de Antofagasta"
"Almirante Latorre 511","Mejillones","Chile","-23.099721","-70.445784","Cuerpo de Bomberos de Mejillones","+56552621591","Región de Antofagasta"
"El Inca 350","San Pedro de Atacama","Chile","-22.908975","-68.200507","Cuerpo de Bomberos de San Pedro De Atacama","+56552851074","Región de Antofagasta"
"Calle Jaime Guzmán 200","Baquedano","Chile","-23.332438","-69.842324","Cuerpo de Bomberos de Sierra Gorda","+56552641825","Región de Antofagasta"
"Ramírez 150","Taltal","Chile","-25.406985","-70.48638","Cuerpo de Bomberos de Tal Tal","+56552611065","Región de Antofagasta"
"21 De Mayo 1561","Tocopilla","Chile","-22.092877","-70.201524","Cuerpo de Bomberos de Tocopilla","+56552813132","Región de Antofagasta"
"Ossa Cerda 370","Caldera","Chile","-27.068545","-70.822803","Cuerpo de Bomberos de Caldera","+56522315269","III Región"
"Merino Jarpa 570","Chañaral","Chile","-26.344437","-70.620478","Cuerpo de Bomberos de Chañaral","+56522480198","III Región"
"Atacama 461","Copiapó","Chile","-27.36608","-70.335853","Cuerpo de Bomberos de Copiapo","+56522212525","III Región"
"Francisco San Román 507","Inca de Oro","Chile","-26.754277","-69.90565","Cuerpo de Bomberos de Inca De Oro","+56522688064","III Región"
"Juan Martínez 1501","Diego de Almagro","Chile","-26.391278","-70.046105","Cuerpo de Bomberos de Diego De Almagro","+56522441289","III Región"
"Atacama 405","Freirina","Chile","-28.509161","-71.081828","Cuerpo de Bomberos de Freirina","+56512518711","III Región"
"Latorre 346","Huasco","Chile","-28.466263","-71.221571","Cuerpo de Bomberos de Huasco","+56512531017","III Región"
"Miguel Lemur 503","Tierra Amarilla","Chile","-27.466787","-70.265559","Cuerpo de Bomberos de Tierra Amarilla","+56522320237","III Región"
"Ramírez 1198","Vallenar","Chile","-28.576881","-70.757228","Cuerpo de Bomberos de Vallenar","+56512619241","III Región"
"Luis Miranda Ansieta S/N","Andacollo","Chile","-30.234234","-71.08407","Cuerpo de Bomberos de Andacollo","+56512431635","Región de Coquimbo"
"Antonio Cuevas S/N","Canela Baja","Chile","-31.398409","-71.456261","Cuerpo de Bomberos de Canela","+56532540348","Región de Coquimbo"
"Maipú 311","Combarbala","Chile","-31.178506","-71.001924","Cuerpo de Bomberos de Combarbala","+56532741020","Región de Coquimbo"
"Aníbal Pinto 1298","Coquimbo","Chile","-29.955831","-71.339252","Cuerpo de Bomberos de Coquimbo","+56512312342","Región de Coquimbo"
"Buin 540","Illapel","Chile","-31.631361","-71.162808","Cuerpo de Bomberos de Illapel","+56532522396","Región de Coquimbo"
"Violeta Seura S/N","La Higuera","Chile","-29.515409","-71.19717","Cuerpo de Bomberos de La Higuera","+5672352781","Región de Coquimbo"
"Francisco De Aguirre Y Balmaceda S/N","La Serena","Chile","-29.906047","-71.249982","Cuerpo de Bomberos de La Serena","+56512225592","Región de Coquimbo"
"Lautaro 489","Los Vilos","Chile","-31.91109","-71.511859","Cuerpo de Bomberos de Los Vilos","+56532541068","Región de Coquimbo"
"Galvarino 1","El Palqui","Chile","-30.768348","-70.942472","Cuerpo de Bomberos de El Palqui","+56532711012","Región de Coquimbo"
"Miguel Aguirre 364","Ovalle","Chile","-30.604089","-71.201865","Cuerpo de Bomberos de Ovalle","+56532620191","Región de Coquimbo"
"Balmaceda 129","Paihuano","Chile","-30.026167","-70.517007","Cuerpo de Bomberos de Paihuano","+56512451071","Región de Coquimbo"
"Caupolicán 828","Punitaqui","Chile","-30.830647","-71.259399","Cuerpo de Bomberos de Punitaqui","+56532731017","Región de Coquimbo"
"Hurtado S/N","Río Hurtado","Chile","-30.278844","-70.678007","Cuerpo de Bomberos de Rio Hurtado","","Región de Coquimbo"
"Ruiz Valledor 231","Salamanca","Chile","-31.778392384202277","-70.96615666864773","Cuerpo de Bomberos de Salamanca","+56532551040","Región de Coquimbo"
"San Martín 150","Vicuña","Chile","-30.03512","-70.713673","Cuerpo de Bomberos de Vicuña","+56512411242","Región de Coquimbo"
"Peñablanca 305","Algarrobo","Chile","-33.367623","-71.673862","Cuerpo de Bomberos de Algarrobo","+56352481190","Región de Valparaíso"
"Humeres 830","Cabildo","Chile","-32.427316","-71.068485","Cuerpo de Bomberos de Cabildo","+56332761070","Región de Valparaíso"
"Cartagena 137","Cartagena","Chile","-33.546511","-71.603432","Cuerpo de Bomberos de Cartagena","0352450046","Región de Valparaíso"
"Alejandro Galaz 343","Casablanca","Chile","-33.315002","-71.411179","Cuerpo de Bomberos de Casablanca","+56322742366","Región de Valparaíso"
"García Huidobro S/N","Catemu","Chile","-32.778491","-70.962838","Cuerpo de Bomberos de Catemu","+56342631219","Región de Valparaíso"
"Ignacio Carrera Pinto 032","El Quisco","Chile","-33.397467","-71.69378","Cuerpo de Bomberos de El Quisco","+56352471166","Región de Valparaíso"
"San Martín 951","El Tabo","Chile","-33.454995","-71.665948","Cuerpo de Bomberos de El Tabo","+56352469699","Región de Valparaíso"
"Manuel Rodríguez 1735","Hijuelas","Chile","-32.802474","-71.144084","Cuerpo de Bomberos de Hijuelas","+56332272737","Región de Valparaíso"
"Tepito O Tehenua S/N","Hanga Roa","Chile","-27.147732","-109.428186","Cuerpo de Bomberos de Isla De Pascua","+56322551564","Región de Valparaíso"
"Aldunate 341","La Calera","Chile","-32.787311","-71.190641","Cuerpo de Bomberos de La Calera","+56332225570","Región de Valparaíso"
"21 De Mayo 3302","La Cruz","Chile","-32.827799","-71.227021","Cuerpo de Bomberos de La Cruz","+56332320166","Región de Valparaíso"
"Diego Portales 298","La Ligua","Chile","-32.450494","-71.229036","Cuerpo de Bomberos de La Ligua","+56332711024","Región de Valparaíso"
"República 368","Limache","Chile","-33.003121","-71.264112","Cuerpo de Bomberos de Limache","+56332413702","Región de Valparaíso"
"Balmaceda 181","Llay Llay","Chile","-32.842221","-70.954401","Cuerpo de Bomberos de Llay Llay","+56342611060","Región de Valparaíso"
"Esmeralda 130","Los Andes","Chile","-32.834348","-70.596548","Cuerpo de Bomberos de Los Andes","+56342421212","Región de Valparaíso"
"Simón Bolívar 14","Nogales","Chile","-32.736491","-71.20012","Cuerpo de Bomberos de Nogales","+56332262823","Región de Valparaíso"
"Diego Portales 2005","Olmué","Chile","-32.998222","-71.185878","Cuerpo de Bomberos de Olmue","+56332441488","Región de Valparaíso"
"Fernández Concha 721","Papudo","Chile","-32.506342","-71.439958","Cuerpo de Bomberos de Papudo","+56332791127","Región de Valparaíso"
"Manuel Montt 795","Petorca","Chile","-32.251734","-70.929693","Cuerpo de Bomberos de Petorca","+56332781052","Región de Valparaíso"
"Latorre 270","Puchuncaví","Chile","-32.725706","-71.415088","Cuerpo de Bomberos de Puchuncavi","+56322791028","Región de Valparaíso"
"Camus 130","Putaendo","Chile","-32.626197","-70.717777","Cuerpo de Bomberos de Putaendo","+56342501026","Región de Valparaíso"
"Yungay 315","Quillota","Chile","-32.885917","-71.247274","Cuerpo de Bomberos de Quillota","+56332312987","Región de Valparaíso"
"Bulnes 1029","Quilpué","Chile","-33.050074","-71.442838","Cuerpo de Bomberos de Quilpue","+56322910310","Región de Valparaíso"
"Normandie 1980","Quintero","Chile","-32.786951","-71.527475","Cuerpo de Bomberos de Quintero","+56322933145","Región de Valparaíso"
"San Martin 2502","Rinconada","Chile","-32.851804","-70.684255","Cuerpo de Bomberos de Rinconada","+56342401022","Región de Valparaíso"
"Domingo Fernandez Concha 808","San Antonio","Chile","-33.587026","-71.606125","Cuerpo de Bomberos de San Antonio","+56352211144","Región de Valparaíso"
"Santa Teresa 31","San Esteban","Chile","-32.799355","-70.58079","Cuerpo de Bomberos de San Esteban","+56342482600","Región de Valparaíso"
"Merced 832","San Felipe","Chile","-32.75182","-70.725938","Cuerpo de Bomberos de San Felipe","+56342518817","Región de Valparaíso"
"Almirante Latorre 730","Santa Maria","Chile","-32.747601","-70.655663","Cuerpo de Bomberos de Santa Maria","+56342582024","Región de Valparaíso"
"El Golf 130","Rocas de Santo Domingo","Chile","-33.636133","-71.620754","Cuerpo de Bomberos de Santo Domingo","+56352441804","Región de Valparaíso"
"Plaza Sotomayor 147","Valparaíso","Chile","-33.038887","-71.628865","Cuerpo de Bomberos de Valparaiso","+56322255856","Región de Valparaíso"
"Ignacio Carrera Pinto 34","Villa Alemana","Chile","-33.044057","-71.364859","Cuerpo de Bomberos de Villa Alemana","+56322951446","Región de Valparaíso"
"Valparaiso 6791","Viña del Mar","Chile","-33.020899","-71.544744","Cuerpo de Bomberos de Viña Del Mar","+56322685194","Región de Valparaíso"
"Benito Del Villar 100","Zapallar","Chile","-32.556598","-71.454723","Cuerpo de Bomberos de Zapallar","+56332741262","Región de Valparaíso"
"O'Higgins S/N","Alhue","Chile","-34.026087","-71.098825","Cuerpo de Bomberos de Villa Alhue","+5628321111","Región Metropolitana"
"Arturo Prat 657","Buin","Chile","-33.733808","-70.745545","Cuerpo de Bomberos de Buin","+5628213660","Región Metropolitana"
"Carretera G. San Martín 060","Colina","Chile","-33.204938","-70.676547","Cuerpo de Bomberos de Colina","+5628441573","Región Metropolitana"
"Independencia 3540","Conchalí","Chile","-33.396094","-70.671716","Cuerpo de Bomberos de Conchali","+5627362070","Región Metropolitana"
"Ambrosio O'Higgins 1599","Curacavi","Chile","-33.403938","-71.133384","Cuerpo de Bomberos de Curacavi","+5628352488","Región Metropolitana"
"Los Libertadores 450","El Monte","Chile","-33.681432","-70.981784","Cuerpo de Bomberos de El Monte","+5628182622","Región Metropolitana"
"Santelices 154","Isla de Maipo","Chile","-33.756061","-70.897827","Cuerpo de Bomberos de Isla De Maipo","028192801","Región Metropolitana"
"Argentina 2095","San Ramón","Chile","-33.533124","-70.635357","Cuerpo de Bomberos de La Granja","+5625253323","Región Metropolitana"
"5 De Abril 258","Maipú","Chile","-33.510883","-70.760518","Cuerpo de Bomberos de Maipu","+5625316046","Región Metropolitana"
"Santa Emilia. S/N","María Pinto","Chile","-33.470835","-71.111406","Cuerpo de Bomberos de Maria Pinto","+5628351853","Región Metropolitana"
"Hermosilla 15","San Pedro","Chile","-33.89427","-71.457163","Cuerpo de Bomberos de San Pedro De Melipilla","+5628326500","Región Metropolitana"
"Serrano 591","Melipilla","Chile","-33.687218","-71.213922","Cuerpo de Bomberos de Melipilla","+5628317349","Región Metropolitana"
"José Pedro Alessandri 845","Ñuñoa","Chile","-33.462389","-70.599166","Cuerpo de Bomberos de Ñuñoa","022371993","Región Metropolitana"
"Presidente Prieto 0380","Paine","Chile","-33.813909","-70.745777","Cuerpo de Bomberos de Paine","+5628241086","Región Metropolitana"
"21 De Mayo 4234","Penaflor","Chile","-33.60793","-70.899111","Cuerpo de Bomberos de Peñaflor","+5628128057","Región Metropolitana"
"Balamaceda 470","Puente Alto","Chile","-33.60709","-70.575676","Cuerpo de Bomberos de Puente Alto","+5628501211","Región Metropolitana"
"José Pedro Escobar S/N","Quilicura","Chile","-33.367103","-70.73138","Cuerpo de Bomberos de Quilicura","+5626035561","Región Metropolitana"
"Martinez De Rosas 4700","Quinta Normal","Chile","-33.436296","-70.700378","Cuerpo de Bomberos de Quinta Normal","+5627735858","Región Metropolitana"
"Covadonga 459","San Bernardo","Chile","-33.594695","-70.704525","Cuerpo de Bomberos de San Bernardo","+5628592594","Región Metropolitana"
"Camino El Volcán 20426","San José de Maipo","Chile","-33.583967","-70.397049","Cuerpo de Bomberos de San Jose De Maipo","+5628611530","Región Metropolitana"
"San Nicolás 1153","San Miguel","Chile","-33.498958","-70.654779","Cuerpo de Bomberos de Metropolitano Sur","+5625598341","Región Metropolitana"
"Santo Domingo 978","Santiago","Chile","-33.43624","-70.651091","Cuerpo de Bomberos de Santiago","+5626721204","Región Metropolitana"
"Bernardo O'Higgins 1239","Talagante","Chile","-33.663803","-70.930479","Cuerpo de Bomberos de Talagante","028151810","Región Metropolitana"
"Emilio Valle 057","Tiltil","Chile","-33.082637","-70.929645","Cuerpo de Bomberos de Til Til","+5628461283","Región Metropolitana"
"18 De Septiembre S/N","Chépica","Chile","-34.728511","-71.272453","Cuerpo de Bomberos de Chepica","+56722817273","VI Región"
"Carmen Larraín 13","Chimbarongo","Chile","-34.708139","-71.041737","Cuerpo de Bomberos de Chimbarongo","+56722781146","VI Región"
"O'Higgins 300","Codegua","Chile","-34.035223","-70.667948","Cuerpo de Bomberos de Codegua","072472018","VI Región"
"Bernardo O' Higgins 77","Coinco","Chile","-34.269045","-70.950398","Cuerpo de Bomberos de Coinco","+56722441122","VI Región"
"Bernardo O' Higgins 282","Coltauco","Chile","-34.292133","-71.079392","Cuerpo de Bomberos de Coltauco","+56722451799","VI Región"
"Estación S/N","Doñihue","Chile","-34.228561","-70.964455","Cuerpo de Bomberos de Doñihue","+56722462218","VI Región"
"La Compañia 0157","Graneros","Chile","-34.068834","-70.723646","Cuerpo de Bomberos de Graneros","+56722471328","VI Región"
"Manuel Rodríguez 878","La Estrella","Chile","-34.206787","-71.656603","Cuerpo de Bomberos de La Estrella","+56722933774","VI Región"
"San Martín 835","Las Cabras","Chile","-34.291175","-71.308978","Cuerpo de Bomberos de Las Cabras","+56722501128","VI Región"
"Hermanos Carrera 1148","Litueche","Chile","-34.119618","-71.727428","Cuerpo de Bomberos de Litueche","+56722851074","VI Región"
"Los Alerces 135","Lolol","Chile","-34.728214","-71.649287","Cuerpo de Bomberos de Lolol","+56722824670","VI Región"
"Miranda 449","Machalí","Chile","-34.180038","-70.65019","Cuerpo de Bomberos de Machali","+56722411213","VI Región"
"La Gloria 65","Malloa","Chile","-34.444436","-70.945706","Cuerpo de Bomberos de Malloa","+56722387003","VI Región"
"Carlos Ortiz 430","Marchihue","Chile","-34.399602","-71.617574","Cuerpo de Bomberos de Marchigue","+56722831175","VI Región"
"Armando Jaramillo 5","Nancagua","Chile","-34.651091","-71.205469","Cuerpo de Bomberos de Nancagua","+56722858390","VI Región"
"Juan Montes S/N","Navidad","Chile","-33.950933","-71.832922","Cuerpo de Bomberos de Navidad","+56722227809","VI Región"
"Rafael Estrada 197","Olivar","Chile","-34.210916","-70.814606","Cuerpo de Bomberos de Olivar","+56722391966","VI Región"
"Doctor Moore 82","Paredones","Chile","-34.650328","-71.89953","Cuerpo de Bomberos de Paredones","+56722824852","VI Región"
"Errazuriz 311","Peralillo","Chile","-34.47978","-71.47886","Cuerpo de Bomberos de Peralillo","+56722861291","VI Región"
"Walter Martínez 364","Peumo","Chile","-34.392136","-71.170004","Cuerpo de Bomberos de Peumo","+56722561466","VI Región"
"Covadonga 17","Pichidegua","Chile","-34.357066","-71.282324","Cuerpo de Bomberos de Pichidegua","+56722591333","VI Región"
"San Antonio 124","Pichilemu","Chile","-34.387298","-72.00048","Cuerpo de Bomberos de Pichilemu","+56722841001","VI Región"
"Miraflores 697","Placilla","Chile","-34.637249","-71.118743","Cuerpo de Bomberos de Placilla","+56722858606","VI Región"
"Rosario 710","Pumanque","Chile","-34.599555","-71.652387","Cuerpo de Bomberos de Pumanque","+56722824704","VI Región"
"Av Castro 583","Quinta de Tilcoco","Chile","-34.353806","-70.9692","Cuerpo de Bomberos de Quinta De Tilcoco","072541395","VI Región"
"Brasil 860","Rancagua","Chile","-34.169511","-70.74684","Cuerpo de Bomberos de Rancagua","+56722222984","VI Región"
"Errázuriz 295","Rengo","Chile","-34.408859","-70.862768","Cuerpo de Bomberos de Rengo","+56722511992","VI Región"
"Guillermo Shell Norte 142","Requinoa","Chile","-34.284357","-70.817791","Cuerpo de Bomberos de Requinoa","+56722551080","VI Región"
"Argomedo 615","San Fernando","Chile","-34.583629","-70.987689","Cuerpo de Bomberos de San Fernando","+56722711247","VI Región"
"Independencia 119","Mostazal","Chile","-33.976463","-70.712054","Cuerpo de Bomberos de San Francisco De Mostazal","+56722491070","VI Región"
"Tagua Tagua 370","San Vicente","Chile","-34.439719","-71.076187","Cuerpo de Bomberos de San Vicente De T. T.","+56722572196","VI Región"
"Díaz Besoaín 141","Santa Cruz","Chile","-34.639096","-71.367243","Cuerpo de Bomberos de Santa Cruz","+56722822310","VI Región"
"Victoria 885","Cauquenes","Chile","-35.967775","-72.321543","Cuerpo de Bomberos de Cauquenes","+56732511211","VII Región"
"Teniente Merino 53","Chanco","Chile","-35.737016","-72.534331","Cuerpo de Bomberos de Chanco","+56732551262","VII Región"
"Adolfo Novoa 184","Colbun","Chile","-35.696972","-71.403722","Cuerpo de Bomberos de Colbun","+56732351122","VII Región"
"Vial 380","Constitución","Chile","-35.332675","-72.407585","Cuerpo de Bomberos de Constitucion","+56712675969","VII Región"
"Rvdo. José Cappel 1","Curepto","Chile","-35.093679","-72.017362","Cuerpo de Bomberos de Curepto","+56752690143","VII Región"
"Arturo Prat Y Membrillar S/N","Curicó","Chile","-34.983685","-71.237072","Cuerpo de Bomberos de Curico","+56752318850","VII Región"
"Bernardo O'Higgins 274","Empedrado","Chile","-35.587882","-72.273416","Cuerpo de Bomberos de Empedrado","+56711971137","VII Región"
"11 De Septiembre S/N","Hualañé","Chile","-34.973385","-71.785321","Cuerpo de Bomberos de Hualañe","+56752481014","VII Región"
"Alejandro Rojas 162","Licanten","Chile","-34.985656","-71.983836","Cuerpo de Bomberos de Licanten","+56752460048","VII Región"
"Valentín Letelier Y Freire. S/N","Linares","Chile","-35.847978","-71.601049","Cuerpo de Bomberos de Linares","+56732213222","VII Región"
"Uno Sur 184","Longaví","Chile","-35.966498","-71.685436","Cuerpo de Bomberos de Longavi","+56732411339","VII Región"
"Serrano S/N","Maule","Chile","-35.518446","-71.68903","Cuerpo de Bomberos de Maule","+56712631103","VII Región"
"Independencia 1757","Molina","Chile","-35.112115","-71.281423","Cuerpo de Bomberos de Molina","+56752491116","VII Región"
"Dieciocho 685","Parral","Chile","-36.140765","-71.825768","Cuerpo de Bomberos de Parral","+56732462600","VII Región"
"San Pedro S/N","Pelarco","Chile","-35.384484","-71.446276","Cuerpo de Bomberos de Pelarco","+56711970295","VII Región"
"Miguel Grau 160","Pelluhue","Chile","-35.811661","-72.573305","Cuerpo de Bomberos de Pelluhue","+5679685032","VII Región"
"Hernando Bravo De Villalba 1095","Pencahue","Chile","-35.390647","-71.806879","Cuerpo de Bomberos de Pencahue","+56711971302","VII Región"
"Sta. María S/N","Rauco","Chile","-34.927334","-71.318622","Cuerpo de Bomberos de Rauco","+56752441082","VII Región"
"Errázuriz 460","Retiro","Chile","-36.055487","-71.764055","Cuerpo de Bomberos de Retiro","+56732421026","VII Región"
"Maximiliano Gatica S/N","Río Claro","Chile","-35.281654","-71.257455","Cuerpo de Bomberos de Cumpeo","+56712291034","VII Región"
"Oscar Bonilla 60","Romeral","Chile","-34.962289","-71.12536","Cuerpo de Bomberos de Romeral","+56752431030","VII Región"
"Esmeralda 15","Sagrada Familia","Chile","-35.00056","-71.37931","Cuerpo de Bomberos de Sagrada Familia","+56752451089","VII Región"
"Huamachuco 1125","San Clemente","Chile","-35.535796","-71.492825","Cuerpo de Bomberos de San Clemente","+56712621272","VII Región"
"Loncomilla 2465","San Javier","Chile","-35.595939","-71.732032","Cuerpo de Bomberos de San Javier De Loncomilla","+56732322536","VII Región"
"Calle Ignacio Bascuñan 450","San Rafael","Chile","-35.305426","-71.514093","Cuerpo de Bomberos de San Rafael","+56712651844","VII Región"
"2 Sur 1160","Talca","Chile","-35.42893","-71.659894","Cuerpo de Bomberos de Talca","+56712214402","VII Región"
